code_INE,move,type,name,source,value
1,Out-migration,International migration,Álava,EVR,61.25186289
1,Out-migration,Internal migration,Álava,EVR,0
1,In-migration,International migration,Álava,EVR,13.54537976
1,In-migration,Internal migration,Álava,EVR,0.199782056
2,Out-migration,International migration,Albacete,EVR,76.16580311
2,Out-migration,Internal migration,Albacete,EVR,0.241041298
2,In-migration,International migration,Albacete,EVR,37.09628735
2,In-migration,Internal migration,Albacete,EVR,-0.315070891
3,Out-migration,International migration,Alicante,EVR,31.19705461
3,Out-migration,Internal migration,Alicante,EVR,0.470087187
3,In-migration,International migration,Alicante,EVR,33.56344652
3,In-migration,Internal migration,Alicante,EVR,-0.281385281
4,Out-migration,International migration,Almería,EVR,26.56809339
4,Out-migration,Internal migration,Almería,EVR,0.508159875
4,In-migration,International migration,Almería,EVR,38.93405049
4,In-migration,Internal migration,Almería,EVR,-1.580509955
5,Out-migration,International migration,Ávila,EVR,232.1266968
5,Out-migration,Internal migration,Ávila,EVR,-1.08483402
5,In-migration,International migration,Ávila,EVR,101.4592275
5,In-migration,Internal migration,Ávila,EVR,-0.081284292
6,Out-migration,International migration,Badajoz,EVR,111.6354234
6,Out-migration,Internal migration,Badajoz,EVR,0.590197588
6,In-migration,International migration,Badajoz,EVR,39.65037743
6,In-migration,Internal migration,Badajoz,EVR,-0.698324022
7,Out-migration,International migration,Baleares,EVR,103.9584255
7,Out-migration,Internal migration,Baleares,EVR,-1.025392987
7,In-migration,International migration,Baleares,EVR,49.94269888
7,In-migration,Internal migration,Baleares,EVR,-0.334518085
8,Out-migration,International migration,Barcelona,EVR,56.81732785
8,Out-migration,Internal migration,Barcelona,EVR,-1.083850334
8,In-migration,International migration,Barcelona,EVR,31.26727866
8,In-migration,Internal migration,Barcelona,EVR,-0.524688466
9,Out-migration,International migration,Burgos,EVR,67.89883268
9,Out-migration,Internal migration,Burgos,EVR,0.619145896
9,In-migration,International migration,Burgos,EVR,35.41401274
9,In-migration,Internal migration,Burgos,EVR,0.666992029
10,Out-migration,International migration,Cáceres,EVR,210.321489
10,Out-migration,Internal migration,Cáceres,EVR,-0.611516902
10,In-migration,International migration,Cáceres,EVR,77.47216765
10,In-migration,Internal migration,Cáceres,EVR,0.155118925
11,Out-migration,International migration,Cádiz,EVR,88.93626093
11,Out-migration,Internal migration,Cádiz,EVR,-0.185873606
11,In-migration,International migration,Cádiz,EVR,37.58486906
11,In-migration,Internal migration,Cádiz,EVR,-1.321938023
12,Out-migration,International migration,Castellón,EVR,23.52773013
12,Out-migration,Internal migration,Castellón,EVR,0.511811024
12,In-migration,International migration,Castellón,EVR,24.21590909
12,In-migration,Internal migration,Castellón,EVR,-0.497420781
13,Out-migration,International migration,Ciudad Real,EVR,55.41713854
13,Out-migration,Internal migration,Ciudad Real,EVR,0.212208214
13,In-migration,International migration,Ciudad Real,EVR,43.91930836
13,In-migration,Internal migration,Ciudad Real,EVR,-0.670375125
14,Out-migration,International migration,Córdoba,EVR,106.2612884
14,Out-migration,Internal migration,Córdoba,EVR,-0.942896493
14,In-migration,International migration,Córdoba,EVR,92.40033223
14,In-migration,Internal migration,Córdoba,EVR,10.13189448
15,Out-migration,International migration,A Coruña,EVR,83.02387268
15,Out-migration,Internal migration,A Coruña,EVR,-0.44744618
15,In-migration,International migration,A Coruña,EVR,25.45903955
15,In-migration,Internal migration,A Coruña,EVR,-0.054200542
16,Out-migration,International migration,Cuenca,EVR,103.7704918
16,Out-migration,Internal migration,Cuenca,EVR,-0.348356194
16,In-migration,International migration,Cuenca,EVR,57.27720555
16,In-migration,Internal migration,Cuenca,EVR,-0.218674831
17,Out-migration,International migration,Girona,EVR,64.96287836
17,Out-migration,Internal migration,Girona,EVR,0.087260035
17,In-migration,International migration,Girona,EVR,33.03826955
17,In-migration,Internal migration,Girona,EVR,-1.083306937
18,Out-migration,International migration,Granada,EVR,121.9241089
18,Out-migration,Internal migration,Granada,EVR,-1.238477236
18,In-migration,International migration,Granada,EVR,47.58903246
18,In-migration,Internal migration,Granada,EVR,-0.428551356
19,Out-migration,International migration,Guadalajara,EVR,61.3086771
19,Out-migration,Internal migration,Guadalajara,EVR,0.534076396
19,In-migration,International migration,Guadalajara,EVR,29.2690145
19,In-migration,Internal migration,Guadalajara,EVR,-0.31767424
20,Out-migration,International migration,Gipuzkoa,EVR,44.04145078
20,Out-migration,Internal migration,Gipuzkoa,EVR,0.437062937
20,In-migration,International migration,Gipuzkoa,EVR,15.11916947
20,In-migration,Internal migration,Gipuzkoa,EVR,0.580858086
21,Out-migration,International migration,Huelva,EVR,141.4329037
21,Out-migration,Internal migration,Huelva,EVR,-1.023558083
21,In-migration,International migration,Huelva,EVR,68.36215666
21,In-migration,Internal migration,Huelva,EVR,-1.148435257
22,Out-migration,International migration,Huesca,EVR,75.49081697
22,Out-migration,Internal migration,Huesca,EVR,-0.080742834
22,In-migration,International migration,Huesca,EVR,37.07746479
22,In-migration,Internal migration,Huesca,EVR,0.586105844
