code_INE,move,type,name,source,value
1,Out-migration,International migration,Álava,EVR,0.6201
1,Out-migration,Internal migration,Álava,EVR,1
1,In-migration,International migration,Álava,EVR,0.8807
1,In-migration,Internal migration,Álava,EVR,0.998
2,Out-migration,International migration,Albacete,EVR,0.5676
2,Out-migration,Internal migration,Albacete,EVR,0.9976
2,In-migration,International migration,Albacete,EVR,0.7294
2,In-migration,Internal migration,Albacete,EVR,1.0032
3,Out-migration,International migration,Alicante,EVR,0.7622
3,Out-migration,Internal migration,Alicante,EVR,0.9953
3,In-migration,International migration,Alicante,EVR,0.7487
3,In-migration,Internal migration,Alicante,EVR,1.0028
4,Out-migration,International migration,Almería,EVR,0.7901
4,Out-migration,Internal migration,Almería,EVR,0.9949
4,In-migration,International migration,Almería,EVR,0.7198
4,In-migration,Internal migration,Almería,EVR,1.0161
5,Out-migration,International migration,Ávila,EVR,0.3011
5,Out-migration,Internal migration,Ávila,EVR,1.011
5,In-migration,International migration,Ávila,EVR,0.4964
5,In-migration,Internal migration,Ávila,EVR,1.0008
6,Out-migration,International migration,Badajoz,EVR,0.4725
6,Out-migration,Internal migration,Badajoz,EVR,0.9941
6,In-migration,International migration,Badajoz,EVR,0.7161
6,In-migration,Internal migration,Badajoz,EVR,1.007
7,Out-migration,International migration,Baleares,EVR,0.4903
7,Out-migration,Internal migration,Baleares,EVR,1.0104
7,In-migration,International migration,Baleares,EVR,0.6669
7,In-migration,Internal migration,Baleares,EVR,1.0034
8,Out-migration,International migration,Barcelona,EVR,0.6377
8,Out-migration,Internal migration,Barcelona,EVR,1.011
8,In-migration,International migration,Barcelona,EVR,0.7618
8,In-migration,Internal migration,Barcelona,EVR,1.0053
9,Out-migration,International migration,Burgos,EVR,0.5956
9,Out-migration,Internal migration,Burgos,EVR,0.9938
9,In-migration,International migration,Burgos,EVR,0.7385
9,In-migration,Internal migration,Burgos,EVR,0.9934
10,Out-migration,International migration,Cáceres,EVR,0.3222
10,Out-migration,Internal migration,Cáceres,EVR,1.0062
10,In-migration,International migration,Cáceres,EVR,0.5635
10,In-migration,Internal migration,Cáceres,EVR,0.9985
11,Out-migration,International migration,Cádiz,EVR,0.5293
11,Out-migration,Internal migration,Cádiz,EVR,1.0019
11,In-migration,International migration,Cádiz,EVR,0.7268
11,In-migration,Internal migration,Cádiz,EVR,1.0134
12,Out-migration,International migration,Castellón,EVR,0.8095
12,Out-migration,Internal migration,Castellón,EVR,0.9949
12,In-migration,International migration,Castellón,EVR,0.805
12,In-migration,Internal migration,Castellón,EVR,1.005
13,Out-migration,International migration,Ciudad Real,EVR,0.6434
13,Out-migration,Internal migration,Ciudad Real,EVR,0.9979
13,In-migration,International migration,Ciudad Real,EVR,0.6948
13,In-migration,Internal migration,Ciudad Real,EVR,1.0067
14,Out-migration,International migration,Córdoba,EVR,0.4848
14,Out-migration,Internal migration,Córdoba,EVR,1.0095
14,In-migration,International migration,Córdoba,EVR,0.5197
14,In-migration,Internal migration,Córdoba,EVR,0.908
15,Out-migration,International migration,A Coruña,EVR,0.5464
15,Out-migration,Internal migration,A Coruña,EVR,1.0045
15,In-migration,International migration,A Coruña,EVR,0.7971
15,In-migration,Internal migration,A Coruña,EVR,1.0005
16,Out-migration,International migration,Cuenca,EVR,0.4907
16,Out-migration,Internal migration,Cuenca,EVR,1.0035
16,In-migration,International migration,Cuenca,EVR,0.6358
16,In-migration,Internal migration,Cuenca,EVR,1.0022
17,Out-migration,International migration,Girona,EVR,0.6062
17,Out-migration,Internal migration,Girona,EVR,0.9991
17,In-migration,International migration,Girona,EVR,0.7517
17,In-migration,Internal migration,Girona,EVR,1.011
18,Out-migration,International migration,Granada,EVR,0.4506
18,Out-migration,Internal migration,Granada,EVR,1.0125
18,In-migration,International migration,Granada,EVR,0.6776
18,In-migration,Internal migration,Granada,EVR,1.0043
19,Out-migration,International migration,Guadalajara,EVR,0.6199
19,Out-migration,Internal migration,Guadalajara,EVR,0.9947
19,In-migration,International migration,Guadalajara,EVR,0.7736
19,In-migration,Internal migration,Guadalajara,EVR,1.0032
20,Out-migration,International migration,Gipuzkoa,EVR,0.6942
20,Out-migration,Internal migration,Gipuzkoa,EVR,0.9956
20,In-migration,International migration,Gipuzkoa,EVR,0.8687
20,In-migration,Internal migration,Gipuzkoa,EVR,0.9942
21,Out-migration,International migration,Huelva,EVR,0.4142
21,Out-migration,Internal migration,Huelva,EVR,1.0103
21,In-migration,International migration,Huelva,EVR,0.594
21,In-migration,Internal migration,Huelva,EVR,1.0116
22,Out-migration,International migration,Huesca,EVR,0.5698
22,Out-migration,Internal migration,Huesca,EVR,1.0008
22,In-migration,International migration,Huesca,EVR,0.7295
22,In-migration,Internal migration,Huesca,EVR,0.9942
23,Out-migration,International migration,Jaén,EVR,0.5379
23,Out-migration,Internal migration,Jaén,EVR,0.9976
23,In-migration,International migration,Jaén,EVR,0.7385
23,In-migration,Internal migration,Jaén,EVR,1.0087
24,Out-migration,International migration,León,EVR,0.4708
24,Out-migration,Internal migration,León,EVR,1.0006
24,In-migration,International migration,León,EVR,0.6811
24,In-migration,Internal migration,León,EVR,1.0013
25,Out-migration,International migration,Lleida,EVR,0.67
25,Out-migration,Internal migration,Lleida,EVR,1.0015
25,In-migration,International migration,Lleida,EVR,0.7999
25,In-migration,Internal migration,Lleida,EVR,1.0055
26,Out-migration,International migration,La Rioja,EVR,0.6304
26,Out-migration,Internal migration,La Rioja,EVR,0.9951
26,In-migration,International migration,La Rioja,EVR,0.7157
26,In-migration,Internal migration,La Rioja,EVR,0.9926
27,Out-migration,International migration,Lugo,EVR,0.5568
27,Out-migration,Internal migration,Lugo,EVR,0.9991
27,In-migration,International migration,Lugo,EVR,0.7453
27,In-migration,Internal migration,Lugo,EVR,1.0012
28,Out-migration,International migration,Madrid,EVR,0.697
28,Out-migration,Internal migration,Madrid,EVR,1.0062
28,In-migration,International migration,Madrid,EVR,0.7485
28,In-migration,Internal migration,Madrid,EVR,1.0036
29,Out-migration,International migration,Málaga,EVR,0.5905
29,Out-migration,Internal migration,Málaga,EVR,1.0038
29,In-migration,International migration,Málaga,EVR,0.7898
29,In-migration,Internal migration,Málaga,EVR,1.0108
30,Out-migration,International migration,Murcia,EVR,0.5523
30,Out-migration,Internal migration,Murcia,EVR,0.9933
30,In-migration,International migration,Murcia,EVR,0.7745
30,In-migration,Internal migration,Murcia,EVR,0.9964
31,Out-migration,International migration,Navarra,EVR,0.687
31,Out-migration,Internal migration,Navarra,EVR,0.9931
31,In-migration,International migration,Navarra,EVR,0.8095
